"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분"
"서울특별시 금천구 가산동","5**","대","준공업지역","25m미만","201901","2","99","76,954","지분"
"서울특별시 서대문구 충정로2가","6*","도로","제2종일반주거지역","-","201901","2","135.1","8,900"," "
"서울특별시 관악구 봉천동","*","대","제3종일반주거지역","-","201901","2","7","800"," "
"서울특별시 광진구 중곡동","1**","임야","개발제한구역","-","201901","2","76.04","826","지분"
"서울특별시 마포구 성산동","2**","도로","제3종일반주거지역","-","201901","3","7","10,000"," "
"서울특별시 마포구 성산동","2**","도로","제3종일반주거지역","-","201901","3","5","10,000"," "
"서울특별시 서초구 방배동","2***","답","개발제한구역","8m미만","201901","3","170","13,932","지분"
"서울특별시 성북구 하월곡동","9*","대","제3종일반주거지역","8m미만","201901","3","36","15,039"," "
"서울특별시 은평구 구산동","산1**","대","개발제한구역","-","201901","3","122","2,553","지분"
"서울특별시 서초구 방배동","2***","답","개발제한구역","8m미만","201901","3","33","2,700","지분"
"서울특별시 중구 을지로4가","1**","대","일반상업지역","12m미만","201901","3","16.5","20,000"," "
"서울특별시 구로구 신도림동","4**","대","제2종일반주거지역","8m미만","201901","3","6.43","3,670","지분"
"서울특별시 종로구 평창동","3**","대","제1종일반주거지역","8m미만","201901","3","116","30,000"," "
"서울특별시 중구 신당동","3**","대","준주거지역","-","201901","3","96","39,312"," "
"서울특별시 서초구 방배동","2***","답","개발제한구역","8m미만","201901","3","67","5,400","지분"
"서울특별시 동작구 상도동","2**","대","제2종일반주거지역","-","201901","4","20","10,000","지분"
"서울특별시 동작구 상도동","2**","대","제2종일반주거지역","-","201901","4","5","2,500","지분"
"서울특별시 중구 을지로6가","1*","대","일반상업지역","25m이상","201901","4","1.5","2,970","지분"
"서울특별시 강북구 미아동","4**","도로","제2종일반주거지역","8m미만","201901","4","90.83","25,000","지분"
"서울특별시 노원구 상계동","9*","도로","준주거지역","-","201901","4","78","27,800"," "
"서울특별시 동작구 상도동","2**","대","제2종일반주거지역","-","201901","4","5","3,500","지분"
"서울특별시 강북구 수유동","산6*","임야","제1종일반주거지역","8m미만","201901","4","66.11","3,980","지분"
"서울특별시 구로구 궁동","산*","임야","개발제한구역","-","201901","4","198","4,140","지분"
"서울특별시 영등포구 당산동4가","*","대","준공업지역","8m미만","201901","4","11.8","6,000","지분"
"서울특별시 성동구 성수동2가","5**","대","제3종일반주거지역","-","201901","4","57","60,135"," "
"서울특별시 종로구 충신동","*","대","제1종일반주거지역","8m미만","201901","4","17.5","9,000"," "
"서울특별시 강동구 암사동","1**","전","개발제한구역","25m이상","201901","4","106","9,800"," "
"서울특별시 관악구 신림동","3**","전","제2종일반주거지역","-","201901","5","10","2,700"," "
"서울특별시 서초구 우면동","4**","대","개발제한구역","-","201901","5","316","40,000"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","264.46","1,032","지분"
"서울특별시 성동구 옥수동","3**","대","제2종일반주거지역","8m미만","201901","7","2.48","1,200","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","330","1,290","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","497","1,935","지분"
"서울특별시 중랑구 면목동","5**","도로","제2종일반주거지역","-","201901","7","2.95","100","지분"
"서울특별시 강서구 오곡동","6**","답","개발제한구역","8m미만","201901","7","1032","18,720"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","528","2,064","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","661.16","2,580","지분"
"서울특별시 용산구 서빙고동","2**","대","제3종일반주거지역","8m미만","201901","7","34.5","23,500","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","66","258","지분"
"서울특별시 강남구 개포동","1***","대","제2종일반주거지역","12m미만","201901","7","228.3","270,000"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","826.45","3,225","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","991","3,870","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","99","387","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","103","400","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","115","452","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","165.29","645","지분"
"서울특별시 중랑구 면목동","3**","대","제2종일반주거지역","8m미만","201901","7","17.1","7,500"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","198","774","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","201","787","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","7","231.41","903","지분"
"서울특별시 강서구 가양동","2**","공장용지","준공업지역","12m미만","201901","8","2","1,000"," "
"서울특별시 마포구 염리동","1*","대","제2종일반주거지역","-","201901","8","4","1,532","지분"
"서울특별시 노원구 하계동","산1*","임야","자연녹지지역","-","201901","8","165.31","1,795","지분"
"서울특별시 성동구 성수동2가","4**","대","제2종일반주거지역","8m미만","201901","8","4","1,859"," "
"서울특별시 용산구 한강로2가","3*","대","제2종일반주거지역","12m미만","201901","8","83.6","189,000"," "
"서울특별시 서초구 염곡동","2**","전","개발제한구역","25m이상","201901","8","1439","190,000"," "
"서울특별시 관악구 봉천동","3*","대","일반상업지역","25m이상","201901","8","22","42,900"," "
"서울특별시 강서구 오곡동","5**","답","개발제한구역","8m미만","201901","8","3193","61,000"," "
"서울특별시 용산구 한강로2가","3*","대","제2종일반주거지역","12m미만","201901","8","404.3","721,000"," "
"서울특별시 강동구 강일동","7**","대","준주거지역","25m이상","201901","8","1014.3","880,000"," "
"서울특별시 광진구 중곡동","1**","임야","개발제한구역","-","201901","9","132.48","1,436","지분"
"서울특별시 동대문구 전농동","6**","대","일반상업지역","25m미만","201901","9","7.2","11,736"," "
"서울특별시 중구 을지로3가","2**","대","일반상업지역","8m미만","201901","9","76","126,000"," "
"서울특별시 서초구 방배동","2***","대","자연녹지지역","25m이상","201901","9","90.85","21,400","지분"
"서울특별시 관악구 신림동","1***","대","제2종일반주거지역","25m미만","201901","9","294.6","270,000"," "
"서울특별시 동대문구 전농동","6**","대","일반상업지역","25m미만","201901","9","175.6","286,228"," "
"서울특별시 성동구 성수동1가","3*","대","제3종일반주거지역","-","201901","9","29","30,000"," "
"서울특별시 구로구 개봉동","6*","대","제2종일반주거지역","8m미만","201901","9","50","4,500"," "
"서울특별시 용산구 효창동","*","대","제2종일반주거지역","8m미만","201901","9","28.11","40,558"," "
"서울특별시 금천구 시흥동","9**","대","준주거지역","8m미만","201901","9","16.24","5,000","지분"
"서울특별시 동대문구 전농동","6**","대","일반상업지역","25m미만","201901","9","375.03","611,283","지분"
"서울특별시 동작구 사당동","1**","대","제2종일반주거지역","-","201901","9","30","7,000"," "
"서울특별시 관악구 신림동","산1**","임야","제1종일반주거지역","12m미만","201901","9","363","7,500","지분"
"서울특별시 용산구 후암동","4**","대","제2종일반주거지역","8m미만","201901","10","19.8","1,500"," "
"서울특별시 서대문구 북아현동","1**","대","제2종일반주거지역","-","201901","10","66.1","14,500"," "
"서울특별시 종로구 부암동","1**","임야","제1종일반주거지역","-","201901","10","23","2,030","지분"
"서울특별시 중구 주자동","*","대","제3종일반주거지역","-","201901","10","2.7","2,778"," "
"서울특별시 종로구 부암동","1**","임야","제1종일반주거지역","-","201901","10","33","2,900","지분"
"서울특별시 동작구 흑석동","2**","대","제1종일반주거지역","8m미만","201901","10","5.05","3,000","지분"
"서울특별시 송파구 송파동","1**","대","제2종일반주거지역","-","201901","10","1000","655,000"," "
"서울특별시 중구 필동3가","7*","대","제1종일반주거지역","8m미만","201901","11","195.8","130,089"," "
"서울특별시 종로구 부암동","1**","임야","제1종일반주거지역","-","201901","11","27","2,320","지분"
"서울특별시 마포구 창전동","*","대","제3종일반주거지역","8m미만","201901","11","31","24,000"," "
"서울특별시 영등포구 신길동","1**","대","제2종일반주거지역","-","201901","11","7","3,000"," "
"서울특별시 강동구 암사동","산2*","임야","개발제한구역","8m미만","201901","11","13388","312,610"," "
"서울특별시 용산구 한남동","*","대","제1종일반주거지역","8m미만","201901","11","28","32,261"," "
"서울특별시 구로구 신도림동","2**","대","준공업지역","8m미만","201901","11","36","35,700"," "
"서울특별시 구로구 신도림동","2**","대","준공업지역","8m미만","201901","11","36","35,700"," "
"서울특별시 금천구 시흥동","9**","도로","제2종일반주거지역","-","201901","11","47.75","4,660"," "
"서울특별시 중구 필동3가","7*","대","제1종일반주거지역","8m미만","201901","11","62.6","41,591"," "
"서울특별시 은평구 신사동","산8*","임야","제1종일반주거지역","-","201901","11","496","7,800"," "
"서울특별시 강동구 암사동","산4*","임야","개발제한구역","25m이상","201901","11","3840","97,920"," "
"서울특별시 광진구 중곡동","1**","도로","제2종일반주거지역","-","201901","13","99","11,400","지분"
"서울특별시 양천구 신월동","3*","잡종지","자연녹지지역","25m이상","201901","13","17.63","2,380","지분"
"서울특별시 양천구 신월동","3*","잡종지","자연녹지지역","25m이상","201901","13","230.38","31,113","지분"
"서울특별시 구로구 궁동","산*","임야","개발제한구역","-","201901","14","49","1,035","지분"
"서울특별시 강남구 논현동","7*","대","제2종일반주거지역","8m미만","201901","14","893.3","1,380,000"," "
"서울특별시 강북구 수유동","산7*","임야","개발제한구역","-","201901","14","165.29","1,895","지분"
"서울특별시 강동구 고덕동","6*","전","개발제한구역","-","201901","14","3152","105,000"," "
"서울특별시 은평구 대조동","1*","도로","일반상업지역","8m미만","201901","14","61","12,000","지분"
"서울특별시 노원구 상계동","1**","대","제2종일반주거지역","-","201901","14","81.67","12,000","지분"
"서울특별시 광진구 자양동","5**","대","제2종일반주거지역","8m미만","201901","14","26","14,000"," "
"서울특별시 종로구 부암동","1**","임야","제1종일반주거지역","-","201901","14","27","2,320","지분"
"서울특별시 구로구 가리봉동","7**","대","제2종일반주거지역","8m미만","201901","14","493.6","257,000"," "
"서울특별시 서대문구 홍은동","1*","대","제2종일반주거지역","8m미만","201901","14","11.68","3,000","지분"
"서울특별시 강북구 수유동","산7*","임야","개발제한구역","-","201901","14","264.46","3,032","지분"
"서울특별시 강북구 수유동","산7*","임야","개발제한구역","-","201901","14","264.46","3,790","지분"
"서울특별시 노원구 상계동","1**","대","제2종일반주거지역","-","201901","14","31","4,500","지분"
"서울특별시 노원구 상계동","1**","도로","제2종일반주거지역","-","201901","14","32","4,500","지분"
"서울특별시 노원구 상계동","1**","도로","제2종일반주거지역","-","201901","14","38","6,000","지분"
"서울특별시 노원구 상계동","1**","도로","제2종일반주거지역","-","201901","14","42.67","6,000","지분"
"서울특별시 강동구 고덕동","6*","전","개발제한구역","8m미만","201901","14","2253","74,800"," "
"서울특별시 성북구 종암동","*","대","제2종일반주거지역","-","201901","14","196","79,893"," "
"서울특별시 구로구 궁동","산*","임야","개발제한구역","-","201901","14","40","828","지분"
"서울특별시 양천구 신정동","1***","도로","제2종일반주거지역","8m미만","201901","15","51.02","12,300","지분"
"서울특별시 동작구 사당동","1***","대","제2종일반주거지역","8m미만","201901","15","149.8","140,000"," "
"서울특별시 양천구 신정동","1***","도로","제2종일반주거지역","8m미만","201901","15","64.7","15,700","지분"
"서울특별시 노원구 상계동","1***","전","제2종일반주거지역","12m미만","201901","15","4","2,000"," "
"서울특별시 동작구 상도동","4**","대","제3종일반주거지역","-","201901","15","3","2,250","지분"
"서울특별시 동작구 상도동","4**","대","제3종일반주거지역","-","201901","15","3","2,680","지분"
"서울특별시 은평구 불광동","2**","대","제2종일반주거지역","8m미만","201901","15","43","20,000"," "
"서울특별시 구로구 궁동","산*","임야","개발제한구역","-","201901","15","10","384","지분"
"서울특별시 양천구 신정동","1***","도로","제2종일반주거지역","8m미만","201901","15","16.53","4,000","지분"
"서울특별시 양천구 신정동","1***","도로","제2종일반주거지역","8m미만","201901","15","16.53","4,000","지분"
"서울특별시 송파구 방이동","4**","답","자연녹지지역","-","201901","15","496","42,000"," "
"서울특별시 노원구 상계동","1**","전","제2종일반주거지역","-","201901","15","12","471","지분"
"서울특별시 종로구 부암동","1**","임야","제1종일반주거지역","-","201901","15","66","5,800","지분"
"서울특별시 강동구 상일동","산2*","임야","자연녹지지역","25m미만","201901","16","330.55","10,000","지분"
"서울특별시 관악구 봉천동","6**","대","제2종일반주거지역","8m미만","201901","16","142","100,000"," "
"서울특별시 영등포구 신길동","3***","전","준주거지역","25m이상","201901","16","150","120,000"," "
"서울특별시 용산구 보광동","2**","도로","준주거지역","8m미만","201901","16","426","128,000"," "
"서울특별시 중구 인현동2가","1**","대","일반상업지역","8m미만","201901","16","2","2,420"," "
"서울특별시 영등포구 신길동","*","대","제2종일반주거지역","8m미만","201901","16","106","64,000"," "
"서울특별시 도봉구 쌍문동","7**","대","제2종일반주거지역","12m미만","201901","16","184.72","67,000","지분"
"서울특별시 동작구 노량진동","3**","대","제3종일반주거지역","8m미만","201901","16","11.57","7,000","지분"
"서울특별시 동대문구 제기동","6**","대","제2종일반주거지역","-","201901","16","14.33","840"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","265","1,032","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","330","1,290","지분"
"서울특별시 동작구 사당동","산3*","임야","제1종일반주거지역","25m미만","201901","17","59.29","1,300","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","363","1,419","지분"
"서울특별시 관악구 봉천동","7**","도로","제3종일반주거지역","-","201901","17","23","1,500"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","396","1,548","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","462.81","1,806","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","495.87","1,935","지분"
"서울특별시 영등포구 신길동","4**","대","제2종일반주거지역","-","201901","17","43","10,470"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","3636.38","14,190","지분"
"서울특별시 성북구 안암동5가","1**","대","일반주거지역","-","201901","17","3","2,172"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","662","2,580","지분"
"서울특별시 노원구 상계동","3**","대","준주거지역","12m미만","201901","17","17.62","21,144","지분"
"서울특별시 영등포구 신길동","3***","대","준주거지역","25m이상","201901","17","116","210,540"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","66","258","지분"
"서울특별시 동대문구 전농동","6**","대","일반상업지역","25m미만","201901","17","137.48","291,130","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","826","3,225","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","991","3,870","지분"
"서울특별시 강서구 오곡동","5**","답","개발제한구역","8m미만","201901","17","1329","38,590"," "
"서울특별시 노원구 상계동","3**","대","준주거지역","12m미만","201901","17","32.38","38,856","지분"
"서울특별시 서대문구 홍은동","1**","대","제3종일반주거지역","25m이상","201901","17","1.25","387","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","100","387","지분"
"서울특별시 영등포구 신길동","4**","대","제2종일반주거지역","-","201901","17","20","4,830"," "
"서울특별시 은평구 수색동","3*","대","제3종일반주거지역","25m이상","201901","17","23","40,779"," "
"서울특별시 강서구 오곡동","6**","답","개발제한구역","8m미만","201901","17","2327","40,800"," "
"서울특별시 구로구 신도림동","4**","전","제2종일반주거지역","8m미만","201901","17","82","47,000"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","132.23","516","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","135.53","529","지분"
"서울특별시 영등포구 영등포동","4**","도로","일반상업지역","-","201901","17","2.8","560","지분"
"서울특별시 영등포구 영등포동","4**","도로","일반상업지역","-","201901","17","32","6,440","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","1652","6,450","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","165","645","지분"
"서울특별시 성북구 성북동","산*","임야","제1종전용주거지역","8m미만","201901","17","1104","70,000"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","198","774","지분"
"서울특별시 서대문구 홍은동","1**","도로","제3종일반주거지역","-","201901","17","2.5","775","지분"
"서울특별시 노원구 상계동","3**","전","준주거지역","12m미만","201901","17","7","8,400"," "
"서울특별시 동작구 흑석동","3*","대","제1종일반주거지역","8m미만","201901","17","96","8,500","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","17","231","903","지분"
"서울특별시 영등포구 신길동","4**","도로","제2종일반주거지역","-","201901","17","380","92,600"," "
"서울특별시 동작구 신대방동","3**","대","제1종일반주거지역","-","201901","18","27","1,100","지분"
"서울특별시 동작구 신대방동","5**","대","제3종일반주거지역","25m이상","201901","18","101","100,000"," "
"서울특별시 동작구 신대방동","5**","대","제3종일반주거지역","25m이상","201901","18","123","115,000"," "
"서울특별시 송파구 방이동","4**","답","개발제한구역","25m이상","201901","18","198.4","14,000","지분"
"서울특별시 서대문구 홍은동","1**","대","제3종일반주거지역","8m미만","201901","18","6.15","2,012","지분"
"서울특별시 동작구 상도1동","5**","대","제2종일반주거지역","8m미만","201901","18","39.7","20,000"," "
"서울특별시 중구 충무로4가","*","대","일반상업지역","8m미만","201901","18","18.5","26,800"," "
"서울특별시 강서구 방화동","2**","대","제2종일반주거지역","-","201901","18","9","3,000","지분"
"서울특별시 강서구 방화동","2**","대","제2종일반주거지역","-","201901","18","9","3,000","지분"
"서울특별시 강북구 미아동","3*","도로","일반상업지역","12m미만","201901","18","16.7","3,500","지분"
"서울특별시 광진구 중곡동","1**","도로","제2종일반주거지역","-","201901","18","33","3,800","지분"
"서울특별시 광진구 중곡동","1**","도로","제2종일반주거지역","-","201901","18","40","4,560","지분"
"서울특별시 광진구 중곡동","1**","도로","제2종일반주거지역","-","201901","18","43","4,940","지분"
"서울특별시 강서구 마곡동","3**","도로","제3종일반주거지역","-","201901","18","14.5","5,000","지분"
"서울특별시 은평구 수색동","3**","도로","제2종일반주거지역","-","201901","18","50","5,065"," "
"서울특별시 성북구 길음동","8**","대","준주거지역","25m미만","201901","18","20","7,100","지분"
"서울특별시 금천구 시흥동","9**","도로","제2종일반주거지역","-","201901","18","47.75","8,000"," "
"서울특별시 동작구 신대방동","5**","대","제3종일반주거지역","25m이상","201901","18","99","80,000"," "
"서울특별시 성북구 성북동","2**","대","제1종전용주거지역","8m미만","201901","19","53","32,000"," "
"서울특별시 도봉구 창동","산4*","임야","자연녹지지역","-","201901","20","48","1,900"," "
"서울특별시 동작구 상도동","1**","대","제1종일반주거지역","-","201901","20","47.25","12,500","지분"
"서울특별시 종로구 평창동","1**","도로","제1종전용주거지역","-","201901","21","140.5","1,500","지분"
"서울특별시 종로구 평창동","1**","공원","제1종전용주거지역","8m미만","201901","21","29.83","1,500","지분"
"서울특별시 동대문구 이문동","3**","대","일반상업지역","-","201901","21","27","11,070"," "
"서울특별시 광진구 중곡동","1**","도로","제2종일반주거지역","-","201901","21","172","19,760","지분"
"서울특별시 광진구 중곡동","1**","도로","제2종일반주거지역","-","201901","21","21","2,280","지분"
"서울특별시 동대문구 이문동","3**","대","일반상업지역","-","201901","21","6","2,424"," "
"서울특별시 용산구 후암동","1**","대","제2종일반주거지역","8m미만","201901","21","6","3,306"," "
"서울특별시 관악구 신림동","3**","도로","제2종일반주거지역","-","201901","21","15","3,400"," "
"서울특별시 성북구 성북동","1*","대","제1종전용주거지역","8m미만","201901","21","44","5,000","지분"
"서울특별시 구로구 궁동","산*","임야","개발제한구역","-","201901","21","16","640","지분"
"서울특별시 강북구 미아동","1***","대","제2종일반주거지역","12m미만","201901","21","3","800"," "
"서울특별시 종로구 신영동","8*","임야","제1종일반주거지역","-","201901","22","34","1,000","지분"
"서울특별시 강북구 수유동","산7*","임야","개발제한구역","-","201901","22","99.17","1,137","지분"
"서울특별시 강북구 수유동","산7*","임야","개발제한구역","-","201901","22","165.29","1,895","지분"
"서울특별시 영등포구 신길동","4***","대","제2종일반주거지역","8m미만","201901","22","142","108,500"," "
"서울특별시 노원구 상계동","*","대","개발제한구역","8m미만","201901","22","66.1","12,000","지분"
"서울특별시 중구 산림동","2*","대","일반상업지역","8m미만","201901","22","10.6","12,026"," "
"서울특별시 강북구 수유동","산6*","임야","제1종일반주거지역","8m미만","201901","22","3.31","199","지분"
"서울특별시 노원구 상계동","*","대","개발제한구역","-","201901","22","12.29","2,000","지분"
"서울특별시 종로구 부암동","1**","임야","제1종일반주거지역","-","201901","22","23","2,030","지분"
"서울특별시 종로구 부암동","2**","대","제2종일반주거지역","-","201901","22","28","2,500","지분"
"서울특별시 서초구 양재동","1**","대","제2종일반주거지역","25m미만","201901","22","258.8","263,976"," "
"서울특별시 종로구 평창동","산*","임야","개발제한구역","12m미만","201901","22","33.06","299","지분"
"서울특별시 종로구 부암동","2**","도로","제2종일반주거지역","-","201901","22","44.5","3,500","지분"
"서울특별시 중구 산림동","4*","대","일반상업지역","8m미만","201901","22","32.3","36,644"," "
"서울특별시 동대문구 제기동","1**","대","제2종일반주거지역","8m미만","201901","22","17","4,000"," "
"서울특별시 송파구 방이동","5*","도로","제2종일반주거지역","-","201901","22","11.98","5,000","지분"
"서울특별시 강북구 수유동","산7*","임야","개발제한구역","-","201901","22","628.1","7,201","지분"
"서울특별시 중구 산림동","2*","대","일반상업지역","8m미만","201901","22","63.5","72,040"," "
"서울특별시 중랑구 신내동","4**","대","제2종일반주거지역","25m미만","201901","22","17","8,000"," "
"서울특별시 서초구 양재동","1**","대","제2종일반주거지역","25m미만","201901","22","8.9","9,078"," "
"서울특별시 중구 산림동","4*","대","일반상업지역","8m미만","201901","22","87.6","99,381"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","23","264","1,032","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","23","331","1,290","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","23","396","1,548","지분"
"서울특별시 강남구 청담동","1**","대","제3종일반주거지역","25m미만","201901","23","599.4","1,722,145"," "
"서울특별시 구로구 천왕동","4*","전","개발제한구역","8m미만","201901","23","96.13","10,000","지분"
"서울특별시 서초구 방배동","8**","도로","제2종일반주거지역","-","201901","23","153.1","108,701","지분"
"서울특별시 종로구 부암동","4*","대","제1종일반주거지역","8m미만","201901","23","46","11,316"," "
"서울특별시 종로구 부암동","4*","임야","제1종일반주거지역","8m미만","201901","23","299.67","11,599","지분"
"서울특별시 종로구 부암동","4*","임야","제1종일반주거지역","8m미만","201901","23","299.67","13,800","지분"
"서울특별시 서초구 방배동","8**","도로","제2종일반주거지역","-","201901","23","23.8","14,970","지분"
"서울특별시 은평구 수색동","3**","대","제2종일반주거지역","8m미만","201901","23","50","16,450"," "
"서울특별시 중구 신당동","3**","대","제2종일반주거지역","25m미만","201901","23","20","16,500"," "
"서울특별시 강남구 청담동","1**","대","제3종일반주거지역","25m미만","201901","23","767.7","2,205,690"," "
"서울특별시 강남구 청담동","1**","대","제3종일반주거지역","25m미만","201901","23","826","2,373,193"," "
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","23","662","2,580","지분"
"서울특별시 종로구 부암동","4*","대","제1종일반주거지역","-","201901","23","32","2,640","지분"
"서울특별시 종로구 부암동","4*","대","제1종일반주거지역","-","201901","23","29","2,783"," "
"서울특별시 서초구 방배동","8**","도로","제2종일반주거지역","-","201901","23","44.9","24,475"," "
"서울특별시 서초구 잠원동","6*","대","제3종일반주거지역","25m이상","201901","23","154.23","255,750","지분"
"서울특별시 도봉구 도봉동","산5*","임야","개발제한구역","8m미만","201901","23","66","258","지분"
"서울특별시 종로구 부암동","1**","임야","제1종일반주거지역","-","201901","23","430","29,337","지분"
"서울특별시 은평구 수색동","3**","도로","제2종일반주거지역","-","201901","23","8","3,172"," "
"서울특별시 종로구 부암동","4*","대","제1종일반주거지역","-","201901","23","32","3,550","지분"
