"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200101 ~ 20200127"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"강원도 강릉시 내곡동","616","0616","0000","강부2","전세","24.795","202001","14","3,500","0","2","1988","관대길 63"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","월세","59.84","202001","6","1,000","50","15","1998","범일로 645"
"강원도 강릉시 노암동","835","0835","0000","노암2주공","월세","49.22","202001","13","1,000","25","3","1984","노가니남길 25"
"강원도 강릉시 송정동","1064","1064","0000","송정 I-PARK아파트","전세","81.47","202001","4","26,500","0","19","2019"," "
"강원도 강릉시 송정동","1064","1064","0000","송정 I-PARK아파트","전세","84.93","202001","4","22,600","0","13","2019","경강로 2511"
"강원도 강릉시 송정동","1064","1064","0000","송정 I-PARK아파트","월세","84.93","202001","4","3,000","90","5","2019","경강로 2511"
"강원도 강릉시 송정동","1064","1064","0000","송정 I-PARK아파트","전세","84.93","202001","6","24,000","0","10","2019"," "
"강원도 강릉시 송정동","1064","1064","0000","송정 I-PARK아파트","전세","75.98","202001","8","24,000","0","9","2019"," "
"강원도 강릉시 입암동","503-2","0503","0002","강동2","전세","59.64","202001","7","6,000","0","2","1991","강변로410번길 37"
"강원도 강릉시 입암동","711","0711","0000","강릉더샵","전세","74.71","202001","7","21,000","0","9","2014","입암로29번길 11"
"강원도 강릉시 입암동","711","0711","0000","강릉더샵","전세","84.94","202001","21","23,500","0","12","2014","입암로29번길 11"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","전세","84.77","202001","3","18,000","0","13","2007","성덕로 328-15"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","전세","84.96","202001","14","21,000","0","7","2007","성덕로 328-15"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","월세","84.77","202001","15","3,000","70","10","2007","성덕로 328-15"
"강원도 강릉시 입암동","321","0321","0000","강릉입암동금호어울림","전세","84.96","202001","20","20,000","0","14","2007","성덕로 328-15"
"강원도 강릉시 입암동","608-3","0608","0003","삼우그린","전세","59.89","202001","16","7,000","0","3","1996","강변로 458"
"강원도 강릉시 입암동","49","0049","0000","입암2주공","전세","39.69","202001","2","3,500","0","5","1990","강변로 508"
"강원도 강릉시 입암동","49","0049","0000","입암2주공","전세","39.3","202001","2","4,500","0","1","1990","강변로 508"
"강원도 강릉시 입암동","685","0685","0000","입암4주공","전세","59.8","202001","20","8,000","0","8","1996","성덕포남로 89"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","월세","59.99","202001","3","1,000","45","12","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","전세","49.62","202001","11","8,500","0","12","1998","성덕포남로 39"
"강원도 강릉시 입암동","712","0712","0000","입암동 강변 코아루 오투리움 아파트","월세","79.191","202001","4","3,000","60","11","2019","월대산로 23"
"강원도 강릉시 입암동","506-5","0506","0005","태평양임대","월세","39.348","202001","20","300","35","10","1998","강변로410번길 31-5"
"강원도 강릉시 저동","4-4","0004","0004","경포현대","전세","59.785","202001","8","7,500","0","5","1996","경포로463번안길 14"
"강원도 강릉시 저동","4-4","0004","0004","경포현대","전세","59.785","202001","17","11,500","0","1","1996","경포로463번안길 14"
"강원도 강릉시 주문진읍 교항리","1166-1","1166","0001","우신그린피아임대","전세","49.86","202001","7","5,500","0","1","1999","보리골길 26"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","월세","33.471","202001","6","300","25","1","1998","죽헌길85번길 25"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","전세","52.176","202001","20","7,000","0","3","1998","죽헌길85번길 25"
"강원도 강릉시 지변동","334","0334","0000","덕원임대","전세","52.176","202001","20","6,600","0","3","1998","죽헌길85번길 25"
"강원도 강릉시 초당동","149-1","0149","0001","동부","전세","59.84","202001","6","14,000","0","13","1997","연당길 75"
"강원도 강릉시 초당동","155","0155","0000","유화3","전세","45.68","202001","6","8,000","0","6","1996","연당길 82"
"강원도 강릉시 포남동","1278-182","1278","0182","강릉2","전세","55.857","202001","7","7,000","0","4","1987","성덕포남로146번길 26"
"강원도 강릉시 포남동","1293-4","1293","0004","송정주공","월세","37.67","202001","3","971","15","12","1995","하평길 55"
"강원도 강릉시 포남동","1293-1","1293","0001","일송","전세","59.135","202001","2","10,500","0","13","1995","하평3길 37"
"강원도 강릉시 포남동","1065","1065","0000","포남1주공","전세","41.98","202001","15","3,500","0","2","1981","보래미상길 65"
"강원도 강릉시 포남동","1200","1200","0000","포남2주공","월세","39.3","202001","16","500","30","3","1989","산양큰길 37"
"강원도 강릉시 홍제동","1043","1043","0000","엘에이치미디어촌7단지","월세","84.78","202001","7","9,900","34","19","2018","선수촌로 36"
"강원도 강릉시 홍제동","122","0122","0000","우산","전세","33.225","202001","18","6,500","0","4","1997","토성로 51"
"강원도 강릉시 홍제동","158","0158","0000","홍제푸르지오","월세","105.715","202001","4","2,000","100","12","2005","홍제로71번길 1"
"강원도 강릉시 회산동","604","0604","0000","강릉회산엘에이치천년나무2","월세","46.76","202001","15","2,241","26","4","2017","강변로 58"
"강원도 고성군 간성읍 상리","483-1","0483","0001","간성대명","월세","39.6","202001","6","1,000","30","12","1998","수성로 126-5"
"강원도 고성군 간성읍 상리","443-2","0443","0002","고성석미모닝파크","월세","57.91","202001","2","6,900","8","14","2014","수성로 126"
"강원도 고성군 간성읍 상리","443-2","0443","0002","고성석미모닝파크","전세","57.91","202001","3","8,600","0","5","2014","수성로 126"
"강원도 고성군 간성읍 상리","443-2","0443","0002","고성석미모닝파크","월세","57.91","202001","20","6,900","8","14","2014","수성로 126"
"강원도 고성군 간성읍 신안리","183","0183","0000","동해1","전세","47.35","202001","2","3,500","0","1","1989","간성로39번길 23"
"강원도 동해시 동회동","442","0442","0000","대동1,2차","전세","45","202001","20","4,500","0","12","1995","청운1길 29"
"강원도 동해시 발한동","778","0778","0000","동해발한석미모닝파크","전세","68.22","202001","3","8,350","0","5","2015","해안로 635-5"
"강원도 동해시 발한동","778","0778","0000","동해발한석미모닝파크","전세","78.28","202001","16","9,580","0","9","2015","해안로 635-5"
"강원도 동해시 북평동","324","0324","0000","동해북평석미모닝파크","월세","78.39","202001","2","8,470","13","18","2017","단봉길 40"
"강원도 동해시 북평동","324","0324","0000","동해북평석미모닝파크","월세","78.39","202001","2","8,470","13","8","2017","단봉길 40"
"강원도 동해시 북평동","324","0324","0000","동해북평석미모닝파크","월세","78.39","202001","6","8,470","13","1","2017","단봉길 40"
"강원도 동해시 북평동","324","0324","0000","동해북평석미모닝파크","월세","78.39","202001","10","8,470","13","2","2017","단봉길 40"
"강원도 동해시 북평동","324","0324","0000","동해북평석미모닝파크","전세","78.39","202001","10","12,130","0","11","2017","단봉길 40"
"강원도 동해시 북평동","324","0324","0000","동해북평석미모닝파크","월세","59.98","202001","20","6,410","9","11","2017","단봉길 40"
"강원도 동해시 쇄운동","1099","1099","0000","동해석미모닝파크","전세","84.21","202001","3","10,700","0","8","2013","효자로 586"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","2","4,919","6","16","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","2","5,742","6","2","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","2","6,482","0","5","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","2","4,847","6","17","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","2","4,339","12","8","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","3","5,526","0","17","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","3","5,742","6","10","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","3","4,870","13","14","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","3","4,798","4","18","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","6","5,845","6","8","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","6","2,848","20","9","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","7","4,798","4","9","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","8","4,919","6","16","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","10","4,847","6","9","2000","청운1길 16"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","10","5,556","0","9","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","10","5,556","0","5","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","10","6,482","0","19","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","13","5,556","0","4","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","13","5,556","0","3","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","14","6,482","0","13","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","14","6,482","0","2","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","15","4,861","7","7","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","15","5,556","0","9","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","16","4,919","6","2","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","17","4,848","7","15","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","17","5,742","6","12","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","17","5,845","6","3","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","17","6,482","0","9","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","59.933","202001","20","5,771","7","6","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","21","4,575","4","19","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","21","4,209","0","6","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","월세","49.896","202001","21","4,798","4","4","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","21","5,556","0","11","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","22","6,482","0","7","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","23","5,556","0","3","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","59.933","202001","23","6,482","0","18","2000","청운1길 30"
"강원도 동해시 쇄운동","8","0008","0000","부영","전세","49.896","202001","23","4,798","0","3","2000","청운1길 30"
"강원도 동해시 쇄운동","1100","1100","0000","아름다운아침","전세","49.95","202001","4","6,500","0","4","2012","효자로 572-1"
"강원도 동해시 이도동","753","0753","0000","동해 이도 코아루 더스카이","전세","84.9464","202001","7","15,000","0","13","2019","동해대로 4833"
"강원도 동해시 이도동","155","0155","0000","이도1주공","월세","49.62","202001","7","500","30","12","1999","이원길 180-2"
"강원도 동해시 이로동","433-31","0433","0031","동해규수방","월세","45.94","202001","3","300","15","3","2007","월평로 49"
"강원도 동해시 천곡동","1098","1098","0000","천곡주공5차","월세","49.69","202001","13","1,310","22","15","1994","동굴로 15"
"강원도 동해시 천곡동","1098","1098","0000","천곡주공5차","월세","49.69","202001","15","1,310","22","3","1994","동굴로 15"
"강원도 동해시 천곡동","1101","1101","0000","천곡주공6차","월세","51.86","202001","15","1,906","19","11","2005","평릉1길 37"
"강원도 동해시 천곡동","1101","1101","0000","천곡주공6차","월세","59.57","202001","15","2,288","21","14","2005","평릉1길 37"
"강원도 동해시 천곡동","794","0794","0000","한양3차","월세","84.855","202001","9","2,000","45","11","1992","천곡로 15"
"강원도 동해시 천곡동","380-2","0380","0002","현대1차","월세","84.945","202001","9","2,000","40","3","1992","한섬로 8"
"강원도 동해시 평릉동","449","0449","0000","동해하나리움","월세","59.9844","202001","7","1,000","50","11","2010","평원로 115"
"강원도 동해시 평릉동","449","0449","0000","동해하나리움","월세","59.9514","202001","15","3,000","30","1","2010","평원로 115"
"강원도 동해시 평릉동","448","0448","0000","동해해안사랑으로부영","월세","84.9877","202001","6","10,938","15","1","2013","평원로 110"
"강원도 동해시 평릉동","448","0448","0000","동해해안사랑으로부영","월세","84.9877","202001","7","10,938","15","5","2013","평원로 110"
"강원도 동해시 평릉동","448","0448","0000","동해해안사랑으로부영","월세","84.9877","202001","8","10,938","15","5","2013","평원로 110"
"강원도 동해시 평릉동","448","0448","0000","동해해안사랑으로부영","월세","73.9784","202001","10","8,628","15","4","2013","평원로 110"
"강원도 동해시 평릉동","448","0448","0000","동해해안사랑으로부영","월세","73.9784","202001","13","8,628","15","10","2013","평원로 110"
"강원도 삼척시 마달동","53-4","0053","0004","누가","전세","27.18","202001","4","1,800","0","6","1995","마달1길 75"
"강원도 속초시 교동","1029","1029","0000","남광하우스토리","전세","59.5144","202001","2","14,000","0","2","2011","동해대로 4284"
"강원도 속초시 교동","1029","1029","0000","남광하우스토리","월세","84.998","202001","7","1,500","70","9","2011","동해대로 4284"
"강원도 속초시 교동","783","0783","0000","대명늘푸른","전세","84.6036","202001","14","15,000","0","13","2000","미시령로3337번길 7"
"강원도 속초시 교동","781-1","0781","0001","동부","전세","60","202001","15","10,500","0","7","1997","미시령로3359번길 15"
"강원도 속초시 교동","781-1","0781","0001","동부","전세","84.96","202001","20","10,000","0","3","1997","미시령로3359번길 15"
"강원도 속초시 교동","800-14","0800","0014","럭키","전세","64.365","202001","14","6,000","0","4","1986","만리공원길 6"
"강원도 속초시 교동","800-68","0800","0068","로얄2","전세","49.74","202001","5","5,000","0","3","1987","만리공원길 16"
"강원도 속초시 교동","904-6","0904","0006","로얄나하나(904-6)","전세","59.97","202001","3","7,500","0","1","1993","만천1길 43"
"강원도 속초시 교동","1027","1027","0000","명지미래힐","전세","84.9295","202001","14","18,000","0","8","2006","미시령로3337번길 20"
"강원도 속초시 교동","924","0924","0000","삼호","월세","43.26","202001","3","3,472","2","9","1995","밤골3길 27"
"강원도 속초시 교동","924","0924","0000","삼호","전세","39.906","202001","3","3,055","0","1","1995","밤골3길 27"
"강원도 속초시 교동","924","0924","0000","삼호","월세","39.906","202001","6","1,816","10","3","1995","밤골3길 27"
"강원도 속초시 교동","924","0924","0000","삼호","월세","43.26","202001","7","1,000","17","12","1995","밤골3길 27"
"강원도 속초시 교동","924","0924","0000","삼호","월세","43.26","202001","9","500","30","8","1995","밤골3길 27"
"강원도 속초시 교동","924","0924","0000","삼호","전세","43.26","202001","9","6,500","0","4","1995","밤골3길 27"
"강원도 속초시 교동","924","0924","0000","삼호","전세","43.26","202001","13","6,500","0","10","1995","밤골3길 27"
"강원도 속초시 교동","924","0924","0000","삼호","전세","39.906","202001","13","3,000","0","4","1995","밤골3길 27"
"강원도 속초시 교동","619-33","0619","0033","설악현대","전세","71.137","202001","3","11,000","0","10","1992","미시령로3389번길 10"
"강원도 속초시 교동","658-42","0658","0042","속초 교동 블루핀","전세","15.07","202001","7","5,500","0","18","2019","교동로1길 17"
"강원도 속초시 교동","781-42","0781","0042","옥토","전세","59.496","202001","22","11,000","0","18","1997","미시령로 3373-4"
"강원도 속초시 교동","898","0898","0000","주공2","전세","39.69","202001","4","5,000","0","2","1990","번영로43번길 52"
"강원도 속초시 교동","898","0898","0000","주공2","전세","47.31","202001","6","6,500","0","3","1990","번영로43번길 52"
"강원도 속초시 교동","961-1","0961","0001","주공3","전세","41.85","202001","8","6,000","0","10","1993","먹거리길 17"
"강원도 속초시 교동","618-10","0618","0010","현대1","전세","84.99","202001","10","12,000","0","14","1991","미시령로3359번길 9"
"강원도 속초시 동명동","512","0512","0000","대명영랑호","전세","84.9","202001","15","11,000","0","15","1997","영랑호반길 103"
"강원도 속초시 조양동","1568","1568","0000","대광로제비앙","전세","84.8533","202001","15","16,000","0","3","2009","온정로1길 11-8"
"강원도 속초시 조양동","1540-1","1540","0001","부영2","전세","49.92","202001","6","6,500","0","5","1998","조양로142번길 6"
"강원도 속초시 조양동","1499","1499","0000","부영3","전세","59.905","202001","15","10,500","0","9","1996","소평로 162"
"강원도 속초시 조양동","1501","1501","0000","부영5","전세","50","202001","3","8,000","0","6","1995","청대로204번길 40"
"강원도 속초시 조양동","1501","1501","0000","부영5","전세","40","202001","13","6,500","0","8","1995","청대로204번길 40"
"강원도 속초시 조양동","1505","1505","0000","부영9","월세","40","202001","23","500","35","5","1995","조양로142번길 13"
"강원도 속초시 조양동","1560","1560","0000","산수빌","월세","59.98","202001","20","3,323","13","15","2005","소평로 80"
"강원도 속초시 조양동","1294-23","1294","0023","성호","월세","59.76","202001","7","1,000","45","12","2001","청대로 8"
"강원도 속초시 조양동","1294-23","1294","0023","성호","전세","49.65","202001","7","8,610","0","7","2001","청대로 22-7"
"강원도 속초시 조양동","1294-23","1294","0023","성호","전세","59.76","202001","10","8,500","0","10","2001","청대로 8"
"강원도 속초시 조양동","1294-23","1294","0023","성호","전세","59.76","202001","17","9,500","0","12","2001","청대로 8"
"강원도 속초시 조양동","1294-23","1294","0023","성호","전세","59.76","202001","17","9,000","0","7","2001","청대로 22-7"
"강원도 속초시 조양동","1294-23","1294","0023","성호","전세","59.76","202001","17","9,000","0","17","2001","청대로 22-7"
"강원도 속초시 조양동","1294-23","1294","0023","성호","전세","59.76","202001","21","9,500","0","5","2001","청대로 8"
"강원도 속초시 조양동","1569","1569","0000","속초조양양우내안애아파트","전세","59.7891","202001","13","15,000","0","9","2015","온정로1길 30"
"강원도 속초시 조양동","1569","1569","0000","속초조양양우내안애아파트","전세","59.9956","202001","17","16,000","0","10","2015","온정로1길 30"
"강원도 속초시 조양동","1563","1563","0000","속초조양코아루","전세","84.98","202001","2","15,000","0","13","2006","청대마을길 20"
"강원도 속초시 조양동","1563","1563","0000","속초조양코아루","전세","84.73","202001","6","16,000","0","13","2006","청대마을길 20"
"강원도 속초시 조양동","1217-1","1217","0001","조양1주공","전세","59.99","202001","1","11,000","0","11","1998","온정로 6"
"강원도 속초시 조양동","1217-1","1217","0001","조양1주공","월세","59.99","202001","2","500","45","15","1998","온정로 6"
"강원도 속초시 조양동","1217-1","1217","0001","조양1주공","전세","59.99","202001","8","10,500","0","9","1998","온정로 6"
"강원도 속초시 조양동","1215-1","1215","0001","조양주공2","월세","49.62","202001","2","500","35","3","1998","온정로 24"
"강원도 속초시 조양동","1215-1","1215","0001","조양주공2","전세","49.62","202001","8","8,500","0","6","1998","온정로 24"
"강원도 속초시 조양동","1377-10","1377","0010","진덕설악","전세","46.04","202001","7","5,000","0","6","1990","조양로22번길 4"
"강원도 속초시 조양동","1463-4","1463","0004","한신","전세","44.82","202001","9","10,000","0","6","1990","해오름로 149"
"강원도 속초시 조양동","1582","1582","0000","효성해링턴플레이스","전세","59.98","202001","7","17,000","0","20","2019","청대로 210"
"강원도 속초시 청호동","1356","1356","0000","속초청호아이파크","전세","84.94","202001","4","21,000","0","19","2018","청호로 22"
"강원도 속초시 청호동","1356","1356","0000","속초청호아이파크","전세","59.98","202001","7","18,000","0","6","2018","청호로 22"
"강원도 속초시 청호동","1356","1356","0000","속초청호아이파크","전세","84.82","202001","18","24,000","0","5","2018","청호로 22"
"강원도 양구군 양구읍 정림리","436","0436","0000","양구석미모닝파크","전세","84.9","202001","9","10,000","0","10","2010","박수근로313번길 17"
"강원도 양구군 양구읍 정림리","436","0436","0000","양구석미모닝파크","전세","77.12","202001","13","9,009","0","9","2010","박수근로313번길 17"
"강원도 양구군 양구읍 정림리","436","0436","0000","양구석미모닝파크","전세","77.12","202001","13","9,000","0","4","2010","박수근로313번길 17"
"강원도 양구군 양구읍 정림리","436","0436","0000","양구석미모닝파크","전세","84.9","202001","16","9,950","0","10","2010","박수근로313번길 17"
"강원도 양구군 양구읍 정림리","436","0436","0000","양구석미모닝파크","전세","84.9","202001","17","9,950","0","7","2010","박수근로313번길 17"
"강원도 양구군 양구읍 정림리","436","0436","0000","양구석미모닝파크","전세","77.12","202001","17","9,009","0","6","2010","박수근로313번길 17"
"강원도 양양군 손양면 하왕도리","303","0303","0000","삼호","전세","49.14","202001","14","3,500","0","14","1998","손중로 211-8"
"강원도 양양군 양양읍 월리","449-1","0449","0001","명지푸르미","전세","59.449","202001","2","1,000","0","6","2002","남대천로 99-14"
"강원도 영월군 영월읍 하송리","363","0363","0000","드림채","전세","84.938","202001","8","1,250","0","4","2012","하송로 146-10"
"강원도 원주시 개운동","441","0441","0000","개운한신휴플러스1차","전세","59.808","202001","8","10,536","0","2","2006","서원대로 389"
"강원도 원주시 관설동","1774-3","1774","0003","청솔5차","전세","59.85","202001","2","7,500","0","6","2001","시청로 524"
